"filename"	"formgroup"	"formtype"	"link"	"formname"
"A1"	"actapplies"	"actapplies"	"https://tribunalsontario.ca/documents/ltb/Landlord Applications & Instructions/A1.pdf"	"A1: Application about Whether the Act Applies"
"A2"	"subletassign"	"subletassign"	"https://tribunalsontario.ca/documents/ltb/Landlord Applications & Instructions/A2.pdf"	"A2: Application about a Sublet or an Assignment"
"A4"	"rentreduction"	"varyrentreduction"	"https://tribunalsontario.ca/documents/ltb/Landlord Applications & Instructions/A4.pdf"	"A4: Application to Vary the Amount of a Rent Reduction"
"Advance_Resolution_Request_(explanation)"	"req"	"advanceresolreq"	"https://tribunalsontario.ca/documents/ltb/Other Forms/Advance Resolution Request (explanation).pdf"	"Explanation"
"Affidavit"	"statements"	"affidavit"	"https://tribunalsontario.ca/documents/ltb/Other Forms/Affidavit.pdf"	"Affidavit"
"Bulk_Application_Info_Sheet"	"info"	"bulkappinfo"	"https://tribunalsontario.ca/documents/ltb/Other Forms/Bulk Application Info Sheet.pdf"	"Bulk Application Information Sheet"
"Certificate_Of_Service"	"servicecertificate"	"servicecertificate"	"https://tribunalsontario.ca/documents/ltb/Other Forms/Certificate Of Service.pdf"	"Certificate of Service"
"Certificate_Of_Service_-_L10"	"servicecertificate"	"servicecertificate_formertenant"	"https://tribunalsontario.ca/documents/ltb/Other Forms/Certificate Of Service - L10.pdf"	"Certificate of Service – L10 Serving a Former Tenant or Tenant No Longer in Possession of the Rental Unit"
"Declaration"	"statements"	"declaration"	"https://tribunalsontario.ca/documents/ltb/Other Forms/Declaration.pdf"	"Declaration"
"Email_Service_Consent"	"statements"	"consentemailservice"	"https://tribunalsontario.ca/documents/ltb/Other Forms/Email Service Consent.pdf"	"Consent to Service by Email"
"Fee_Waiver_Request"	"req"	"reqfeewaiver"	"https://tribunalsontario.ca/documents/ltb/Other Forms/Fee Waiver Request.pdf"	"Fee Waiver Request"
"Information_from_your_Landlord_about_Utility_Cost_One_or_More"	"info"	"infoutilitycosts"	"https://tribunalsontario.ca/documents/ltb/Other Forms/Information from your Landlord about Utility Cost_One or More.pdf"	"Information from your Landlord about Utility Costs (One or More Utilities are no Longer Provided in the Residential Complex)"
"Information_from_your_Landlord_about_Utility_Costs"	"info"	"infoutilitycosts"	"https://tribunalsontario.ca/documents/ltb/Other Forms/Information from your Landlord about Utility Costs.pdf"	"Information from your Landlord about Utility Costs"
"Information_to_Prospective_Tenant_About_Suite_Meters_or_Meters"	"suitemeters"	"suitemeters"	"https://tribunalsontario.ca/documents/ltb/Other Forms/Information to Prospective Tenant About Suite Meters or Meters.pdf"	"Information to Prospective Tenant about Suite Meters or Meters"
"Issues_a_Tenant_Intends_to_Raise_at_a_Rent_Arrears_Hearing"	"arrears"	"tenantintendraiseissuesarrears"	"https://tribunalsontario.ca/documents/ltb/Other%20Forms/Issues%20a%20Tenant%20Intends%20to%20Raise%20at%20a%20Rent%20Arrears%20Hearing.pdf"	"Issues a Tenant Intends to Raise at a Rent Arrears Hearing"
"L1"	"nonpayment"	"evictnonpayment"	"https://tribunalsontario.ca/documents/ltb/Landlord Applications & Instructions/L1.pdf"	"L1: Application to evict a tenant for non-payment of rent and to collect rent the tenant owes"
"L1_L9_–_Information_Update"	"update"	"l1l9infoupdatetenantrentowed"	"https://tribunalsontario.ca/documents/ltb/Other%20Forms/L1%20L9%20%E2%80%93%20Information%20Update.pdf"	"L1/L9 – Information Update"
"L10"	"collectrent"	"collectrentformertenant"	"https://tribunalsontario.ca/documents/ltb/Landlord Applications & Instructions/L10.pdf"	"L10: Application to Collect Money a Former Tenant Owes"
"L2"	"evictcollectrent"	"evictorcollectmoney"	"https://tribunalsontario.ca/documents/ltb/Landlord Applications & Instructions/L2.pdf"	"L2: Application to End a Tenancy and Evict a Tenant or Collect Money"
